id_unidade;nome;latitude;longitude;total_retirado
198;UBS JARDIM LUCELIA - SANDRA APARECIDA BARBOSA CORREIA LIMA;-23,762557;-46,672309;436431
185;UBS JARDIM HERCULANO;-23,692325;-46,757648;436280
19;AMA/UBS JARDIM MIRIAM - MANOEL SOARES DE OLIVEIRA;-23,678565;-46,644494;435501
149;UBS JARDIM CAIÇARA;-23,68343;-46,775536;434894
181;UBS JARDIM GUARANI;-23,462469;-46,69132;434372
424;UBS ZUMBI DOS PALMARES;-23,672071;-46,746016;434110
365;UBS VILA DALVA - ENG. GUILHERME HENRIQUE PINTO COELHO;-23,563639;-46,765086;433696
282;UBS PARAISÓPOLIS;-23,616684;-46,723311;432763
197;UBS JARDIM LOURDES;-23,660122;-46,637024;432639
351;UBS VILA ARAPUÃ - NELSON MORAES;-23,633665;-46,589026;430288
372;UBS VILA ESPANHOLA;-23,481434;-46,667834;429920
384;UBS VILA IMPERIO - DRA GILDA TERA TAHIRA;-23,67652;-46,650869;429101
327;UBS SANTO AMARO - DR. SÉRGIO VILLAÇA BRAGA;-23,647698;-46,701792;429049
357;UBS VILA CAMPESTRE;-23,660325;-46,650388;428244
390;UBS VILA LEONOR;-23,498677;-46,596791;427419
329;UBS SANTO ESTEVÃO;-23,559557;-46,460052;427092
157;UBS JARDIM COLORADO - DR. JOSÉ PIRES;-23,626491;-46,46371;427010
386;UBS VILA ITAPEMA;-23,560495;-46,51011;424947
112;UBS DR ANTONIO PIRES FERREIRA VILLALOBO;-23,54727;-46,500242;424754
74;UBS BUTANTÃ;-23,577004;-46,733989;424400
258;UBS JOSE BONIFACIO II - CELINA MARIA JOSE DE OLIVEIRA;-23,553835;-46,444665;423638
303;UBS PARQUE REGINA - PERINA ALVES TEIXEIRA;-23,634533;-46,755626;423525
90;UBS CHÁCARA SANTANA;-23,671735;-46,747032;422913
28;AMA/UBS MASSAGISTA MÁRIO AMÉRICO;-23,486697;-46,655573;422458
97;UBS CIDADE PATRIARCA - DR HERMENEGILDO MORBIN JUNIOR;-23,536174;-46,503497;422201
388;UBS VILA JACUÍ;-23,502523;-46,449848;421887
4;AMA/UBS CANGAÍBA - DR. CARLOS GENTILE DE MELLO;-23,505467;-46,520952;420453
287;UBS PARQUE ARTHUR ALVIM;-23,537762;-46,491876;419935
225;UBS JARDIM ROBRU - MESSIAS JOSE DA SILVA;-23,521252;-46,412409;419650
144;UBS JARDIM AEROPORTO - DR. MASSAKI UDIHARA;-23,63132655;-46,67007416;418424
262;UBS LARANJEIRAS;-23,703427;-46,628137;416795
143;UBS JARAGUÁ;-23,504756;-46,410341;416543
215;UBS JARDIM PANAMERICANO;-23,450666;-46,729575;416081
273;UBS MORRO DOCE;-23,438633;-46,793473;414181
65;UBS AUTÓDROMO - DR FAUZER SIMÃO ABRÃO;-23,700696;-46,69213;409987
394;UBS VILA MARIA - DR. LUIZ PAULO GNECCO;-23,499997;-46,590546;408303
373;UBS VILA ESPERANÇA - DR. CASSIO BITTENCOURT FILHO;-23,531021;-46,532094;407666
161;UBS JARDIM DA CONQUISTA I;-23,612895;-46,453102;406658
334;UBS SÃO JORGE - CIDADE ADEMAR;-23,685793;-46,661613;405757
82;UBS CASA VERDE ALTA;-23,489239;-46,664617;405240
350;UBS VILA APARECIDA;-23,690937;-46,670224;403738
168;UBS JARDIM DOS EUCALÍPTOS - HELIO MOREIRA SALLES;-23,600968;-46,507991;403237
71;UBS BRASILÂNDIA;-23,470787;-46,691981;402151
175;UBS JARDIM FANGANIELLO;-23,547184;-46,395999;402064
289;UBS PARQUE DA LAPA;-23,53198;-46,720594;400537
381;UBS VILA GUILHERMINA - DR. AMERICO RASPA NETO;-23,537738;-46,514362;400269
129;UBS GAIVOTAS;-23,732145;-46,666909;400187
231;UBS JARDIM SANTA TEREZINHA;-23,572197;-46,503408;397496
66;UBS BARRO BRANCO;-23,583786;-46,393162;397395
419;UBS VILA SANTA MARIA;-23,493186;-46,67146;397034
322;UBS RIO PEQUENO - PAULO DE BARROS FRANÇA;-23,562688;-46,751566;396989
180;UBS JARDIM GUANABARA;-23,493321;-46,700979;395926
111;UBS DONA MARIQUINHA SCIASCIA;-23,460984;-46,622647;393663
188;UBS JARDIM INDAIÁ;-23,515596;-46,397985;393013
383;UBS VILA HELOISA;-23,58975;-46,534832;393005
57;CS ESCOLA GERALDO DE PAULA SOUZA;-23,553258;-46,67348;391823
40;AMA/UBS VILA BARBOSA;-23,505328;-46,670864;391269
229;UBS JARDIM SANTA MARGARIDA;-23,678701;-46,755539;390623
415;UBS VILA ROMANA;-23,528683;-46,695299;389495
330;UBS SEM TERRA - PARQUE NAÇÕES UNIDAS;-23,440064;-46,745984;389354
164;UBS JARDIM DAMASCENO;-23,451476;-46,698773;389011
128;UBS FERROVIÁRIOS;-23,597944;-46,391658;388764
314;UBS PRO MORAR;-23,604225;-46,499356;388343
268;UBS MASCARENHAS DE MORAES;-23,616665;-46,495743;388104
205;UBS JARDIM MARINGÁ - VILA TALARICO;-23,553634;-46,515006;388054
60;UBS ALMIRANTE DELLAMARE;-23,603784;-46,596046;387048
25;AMA/UBS JARDIM TRÊS MARIAS - DR. MAURICIO ZAMIJOVSKY;-23,518476;-46,492224;387048
216;UBS JARDIM PARAGUAÇU - DR. GONÇALO FELICIANO ALVES;-23,595817;-46,500238;385314
153;UBS JARDIM CIDADE PIRITUBA;-23,477626;-46,72098;385203
358;UBS VILA CANAÃ;-23,654478;-46,664065;385100
79;UBS CARANDIRU;-23,504408;-46,610739;384124
64;UBS ANTONIO ESTEVÃO DE CARVALHO;-23,539206;-46,476252;383852
366;UBS VILA DAS BELEZAS - DR. ALBERTO AMBRÓSIO;-23,643756;-46,742868;383206
432;UPA LAPA - PROF. JOÃO CATARIN MEZOMO;-23,537596;-46,721961;382700
352;UBS VILA ARICANDUVA;-23,534831;-46,536571;381912
156;UBS JARDIM COLONIAL;-23,601905;-46,472024;381327
160;UBS JARDIM D ABRIL;-23,57601;-46,775112;377944
353;UBS VILA AURORA - DR DOMINGOS MAZZONETO DE CILO;-23,473552;-46,626143;376192
132;UBS GUAIANAZES;-23,543538;-46,409432;375185
187;UBS JARDIM ICARAÍ BRASILÂNDIA - DR DANIEL ALVES GRANGEIRO;-23,465969;-46,696403;373952
234;UBS JARDIM SECKLER;-23,619304;-46,587004;373920
140;UBS INTERATIVA;-23,446604;-46,709725;373572
178;UBS JARDIM GERMANIA;-23,654212;-46,759758;371919
88;UBS CHÁCARA INGLESA;-23,493762;-46,725229;371514
349;UBS VILA ANGLO - JOSÉ SERRA RIBEIRO;-23,531096;-46,677451;370900
68;UBS BOM RETIRO - DR. OCTAVIO AUGUSTO RODOVALHO;-23,526016;-46,641598;369847
93;UBS CIDADE JULIA;-23,691084;-46,64045;369820
166;UBS JARDIM DAS PALMAS;-23,627203;-46,746445;369262
382;"UBS VILA GUMERCINDO - PROF JANDIRA MASSUR ";-23,60232124;-46,62467437;369155
172;UBS JARDIM ELISA MARIA I;-23,456158;-46,68549;368592
99;UBS CIDADE SATELITE - SANTA BARBARA;-23,611742;-46,463679;367503
429;UPA JARDIM ELISA MARIA I;-23,456158;-46,685491;367147
211;UBS JARDIM NOVE DE JULHO;-23,592072;-46,484677;366695
194;UBS JARDIM JULIETA;-23,496276;-46,568155;366584
72;UBS BRASÍLIA - M BOI;-23,653893;-46,745095;364950
56;CS ESCOLA BARRA FUNDA - ALEXANDRE VRANJAC;-23,52116;-46,658956;362585
336;UBS SÃO REMO;-23,563643;-46,743848;362426
412;UBS VILA RAMOS - FREGUESIA DO Ó;-23,482552;-46,677918;361168
107;UBS DOM ANGELICO;-23,580445;-46,383071;357069
118;UBS DR. OSWALDO MARASCA JUNIOR;-23,570532;-46,611415;356143
30;AMA/UBS PARI;-23,525997;-46,620973;353521
139;UBS INDIANÓPOLIS - SIGMUND FREUD;-23,614212;-46,6654;352433
69;UBS BORACEA;-23,525147;-46,651443;351477
370;UBS VILA EDE;-23,490675;-46,59155;348109
89;UBS CHÁCARA SANTA MARIA;-23,700522;-46,791137;345383
